,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,ELSTART_MD,ELEND_MD,AZSTART_MD,AZEND_MD,RA_WCS,DEC_WCS,dRA,dDEC,PNT_OFFSET
2020021700328,2020-02-18 04:08:26.981500,58897.1725345081,5.0,144.69658625,-60.0918727777778,1.1563466126497441,37.450522,173.810313124617,59.859031943880794,144.69658625,-60.0918727777778,5.0,-104.150001525879,-100.805046081543,empty_3,59.8590319438808,59.8620842977398,173.810313124617,173.842711527308,144.70279258740916,-60.083396151486355,-0.3723802445507361,-0.5085975774868947,0.5414376618619638
2020021900181,2020-02-20 01:17:20.558502,58899.05371016785,5.0,307.078084166667,-87.472205,2.1235686583599502,255.68781099999998,181.448880960001,28.0930856450577,307.078084166667,-87.472205,5.0,-104.150001525879,-100.776344299316,RG610,28.0930856450577,28.0922818764229,181.448880960001,181.447321255473,306.94840405442307,-87.4690982127582,7.780806734637707,-0.18640723450815377,0.3907101810398341
2020021900183,2020-02-20 01:17:47.273001,58899.054019363444,5.0,307.078084166667,-87.472205,2.1237429287095764,255.698335,181.443862546948,28.0905759914895,307.078084166667,-87.472205,5.0,-104.150001525879,-100.766220092773,RG610,28.0905759914895,28.0898607357522,181.443862546948,181.442495961441,306.94812323521114,-87.46895897594672,7.7976558873544395,-0.19476144319641195,0.3954194230705198
2020021900184,2020-02-20 01:19:18.420998,58899.055074317104,2.0,307.078084166667,-87.472205,2.1246954427965608,255.744666,181.429552514805,28.0768672212143,307.078084166667,-87.472205,2.0,-104.150001525879,-100.79566192627,empty_1,28.0768672212143,28.0763924702187,181.429552514805,181.428578425912,306.94546425706744,-87.4630687363335,7.9571945759759215,-0.5481758199899994,0.6512322886193846
2020021900185,2020-02-20 01:20:54.170500,58899.05618252893,2.0,307.078084166667,-87.472205,2.1249959732311177,255.751588,181.422354359893,28.0725448413868,307.078084166667,-87.472205,2.0,-104.150001525879,-100.791946411133,empty_1,28.0725448413868,28.072040586092,181.422354359893,181.421200115932,307.17828574161166,-87.4628511970912,-6.012094496675692,-0.5612281745281154,0.6209231923770424
2020021900186,2020-02-20 01:21:04.556002,58899.05630273151,2.0,307.078084166667,-87.472205,2.125068750451439,255.765618,181.419968087939,28.0714983328362,307.078084166667,-87.472205,2.0,-104.150001525879,-100.765472412109,empty_1,28.0714983328362,28.0710320755024,181.419968087939,181.41906686571,307.179420542602,-87.46305606796696,-6.080182556095901,-0.548935921982452,0.611147136889158
2020021900187,2020-02-20 01:21:14.951999,58899.05642305554,2.0,307.078084166667,-87.472205,2.125134693208401,255.76560000000003,181.418135245098,28.0705501719494,307.078084166667,-87.472205,2.0,-104.150001525879,-100.776252746582,empty_1,28.0705501719494,28.0700700565358,181.418135245098,181.417219270734,307.1767115169619,-87.46305637142713,-5.917641017692686,-0.5489177143714958,0.6080080196685327
2020021900194,2020-02-20 01:23:05.394001,58899.057701319456,5.0,307.078084166667,-87.472205,2.1258420140443555,255.79518199999998,181.397934187902,28.0603841527482,307.078084166667,-87.472205,5.0,-104.150001525879,-100.755630493164,RG610,28.0603841527482,28.0596349223633,181.397934187902,181.396339167608,307.1788566045565,-87.46320830500457,-6.046346273363876,-0.5398016997251533,0.6022879304750935
2020021900195,2020-02-20 01:23:18.777002,58899.0578562153,5.0,307.078084166667,-87.472205,2.12593026080544,255.646612,181.395471920026,28.0591163619538,307.078084166667,-87.472205,5.0,-104.150001525879,-100.784240722656,RG610,28.0591163619538,28.0583380743046,181.395471920026,181.393852759866,307.1808241896406,-87.46323736083981,-6.164401378410993,-0.5380583496110207,0.6030628683089001
2020021900196,2020-02-20 01:23:32.169500,58899.05801122106,5.0,307.078084166667,-87.472205,2.1260237131650537,255.592554,181.392822791589,28.0577739163418,307.078084166667,-87.472205,5.0,-104.150001525879,-100.766960144043,RG610,28.0577739163418,28.0570769890328,181.392822791589,181.391183514846,307.18299838063865,-87.4632535603333,-6.294852838294284,-0.5370863800018811,0.604823991535407
